"mutator","instance","repl","HV","EPS","IGD","class","no","jobid"
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_7.graph",1,0.0427782110673643,0.102484472049689,0.0252019888393903,"CLASS3",7,1471
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_7.graph",1,0.0112045554918669,0.0139183055975796,0.00620006975209184,"CLASS3",7,1451
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_7.graph",1,0.0120070286879467,0.0372670807453417,0.0068343365150683,"CLASS3",7,1461
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph",1,0.0321804573913622,0.0890207715133531,0.0171352647864767,"CLASS3",8,91
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph",1,0.0801333498915109,0.231454005934718,0.0652466476636031,"CLASS3",8,81
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph",1,0.0393261850345447,0.148367952522255,0.0278493560870119,"CLASS3",8,71
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph",1,0.0112747302418396,0.0415430267062316,0.00647461080299527,"CLASS3",8,51
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_8.graph",1,0.0136450693013711,0.0207715133531157,0.00734574653418904,"CLASS3",8,61
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_9.graph",1,0.0298048408092159,0.0813253012048192,0.0192229230813191,"CLASS3",9,741
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_9.graph",1,0.0846464656350835,0.219879518072289,0.0651993881740173,"CLASS3",9,731
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_9.graph",1,0.0544387134239642,0.156626506024096,0.0387678527408666,"CLASS3",9,721
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_9.graph",1,0.0130897269011058,0.0662650602409638,0.00739621113430698,"CLASS3",9,701
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_9.graph",1,0.0126468506030623,0.0481927710843373,0.00746706861715622,"CLASS3",9,711
"IF-G","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_1.graph",1,0.00200123152709364,0.0197044334975369,0.00538980433088506,"CLASS4",1,841
"IF-L","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_1.graph",1,0.479525862068965,0.34375,0.31809817393638,"CLASS4",1,831
"SGS","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_1.graph",1,0.748306650246305,0.61576354679803,0.653112853487773,"CLASS4",1,821
"USGS-F","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_1.graph",1,0,0,0,"CLASS4",1,801
"USGS-PRE","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_1.graph",1,0,0,0,"CLASS4",1,811
"IF-G","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_10.graph",1,0.0259136212624586,0.0357142857142858,0.0185719098155485,"CLASS4",10,791
"IF-L","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_10.graph",1,0.385382059800664,0.357142857142857,0.25763288619757,"CLASS4",10,781
"SGS","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_10.graph",1,0.216611295681063,0.144186046511628,0.151605789786771,"CLASS4",10,771
"USGS-F","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_10.graph",1,0.0230897009966778,0.0357142857142858,0.01561046326262,"CLASS4",10,751
"USGS-PRE","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_10.graph",1,0,0,0,"CLASS4",10,761
"IF-G","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph",1,0.00451722190852621,0.025974025974026,0.00910740791606046,"CLASS4",2,191
"IF-L","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph",1,0.430547713156409,0.478260869565217,0.352315745239114,"CLASS4",2,181
"SGS","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph",1,0.539525691699605,0.474025974025974,0.411301087005168,"CLASS4",2,171
"USGS-F","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph",1,0,0,0,"CLASS4",2,151
"USGS-PRE","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_2.graph",1,0,0,0,"CLASS4",2,161
"IF-G","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_3.graph",1,0.001,0.00800000000000001,0.000449799196787149,"CLASS4",3,491
"IF-L","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_3.graph",1,0.464,0.344,0.317162887329867,"CLASS4",3,481
"SGS","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_3.graph",1,0.0086666666666666,0.0416666666666667,0.0460358556788179,"CLASS4",3,471
"USGS-F","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_3.graph",1,0,0,0,"CLASS4",3,451
"USGS-PRE","CLASS4_50_1225_0_2_UNG_CEG_0.95--CORWG_3.graph",1,0,0,0,"CLASS4",3,461
