n p sigma.fun sigma repl USGS USGS-F USGS-PRE
200 1.0 "sqrt" 15 24 0.014206416999968496 0.011977084000136529 0.001115749999826221
200 1.0 "sqrt" 15 25 0.01430412499985323 0.012585875000240776 0.0011925829999199777
200 1.0 "sqrt" 15 26 0.01497887499999706 0.012734707999698003 0.0011194580001756549
200 1.0 "sqrt" 15 27 0.014543208999839408 0.012493957999595295 0.0011602089998632437
200 1.0 "sqrt" 15 28 0.014635582999744656 0.01104329100007817 0.00112749999971129
200 1.0 "sqrt" 15 29 0.014556042000094749 0.011375125000085973 0.0011744999997063132
200 1.0 "sqrt" 15 30 0.014883791000102065 0.011249624999891239 0.0011275000001660374
200 1.0 "logsquared" 59 1 0.016122541999720852 0.015316875000280561 0.001232042000083311
200 1.0 "logsquared" 59 2 0.014705125000091357 0.015354333999766823 0.0012753749997500563
200 1.0 "logsquared" 59 3 0.01468974999988859 0.014958124999793654 0.0013090839997857984
200 1.0 "logsquared" 59 4 0.015023041999938869 0.01468795799974032 0.0011777080003412266
200 1.0 "logsquared" 59 5 0.014373583999713446 0.014653417000317859 0.001197375000174361
200 1.0 "logsquared" 59 6 0.014295041999957903 0.014694750000217027 0.0011907910002264543
200 1.0 "logsquared" 59 7 0.014310375000150088 0.014779499999804102 0.0012852499999098654
200 1.0 "logsquared" 59 8 0.01447737499984214 0.01445712500026275 0.001194499999655818
200 1.0 "logsquared" 59 9 0.014610167000228103 0.014301540999895224 0.0011715420000655286
200 1.0 "logsquared" 59 10 0.0145676669999375 0.014503542000056768 0.0012083339997843723
200 1.0 "logsquared" 59 11 0.01441366700009894 0.013933041999734996 0.001149749999967753
200 1.0 "logsquared" 59 12 0.014425000000301225 0.014719833000071958 0.0012133330001233844
200 1.0 "logsquared" 59 13 0.014402249999875494 0.014831790999778605 0.0011748749998332642
200 1.0 "logsquared" 59 14 0.014445332999912353 0.014519333000407642 0.0012183750000076543
200 1.0 "logsquared" 59 15 0.01434879099997488 0.014902207999966777 0.00121983300005013
200 1.0 "logsquared" 59 16 0.014439333999689552 0.014941749999707099 0.001227792000008776
200 1.0 "logsquared" 59 17 0.01454491600043184 0.016301874999953725 0.0013068339999335876
200 1.0 "logsquared" 59 18 0.015006458000243583 0.01521579100017334 0.0012335830001575232
200 1.0 "logsquared" 59 19 0.014349125000080676 0.01461079199998494 0.0012065000000802684
200 1.0 "logsquared" 59 20 0.014479292000032729 0.014689999999973224 0.0012464169999475416
200 1.0 "logsquared" 59 21 0.014313916999981302 0.014588041000024532 0.0011514999996506958
200 1.0 "logsquared" 59 22 0.014710957999795937 0.014556500000253436 0.001375124999867694
200 1.0 "logsquared" 59 23 0.014461415999903693 0.014550290999977733 0.0011659580000014103
200 1.0 "logsquared" 59 24 0.014456332999998267 0.014649833000021317 0.0012628330000552523
200 1.0 "logsquared" 59 25 0.014410165999834135 0.014905874999840307 0.0012826670003960317
200 1.0 "logsquared" 59 26 0.01444325000011304 0.014978833999975905 0.001228167000135727
200 1.0 "logsquared" 59 27 0.014578875000097469 0.014503459000025032 0.0011919170001419843
200 1.0 "logsquared" 59 28 0.014478500000222994 0.014787084000090545 0.001131749999785825
200 1.0 "logsquared" 59 29 0.014486167000086425 0.014679957999760518 0.0011887499999829743
200 1.0 "logsquared" 59 30 0.014495624999653955 0.014454541999839421 0.0013012499998694693
200 1.0 "half" 100 1 0.014532000000144762 0.015119416999823443 0.0013539589999709278
200 1.0 "half" 100 2 0.014406041999791341 0.014976124999975582 0.0012183750000076543
200 1.0 "half" 100 3 0.014360374999796477 0.01518841600000087 0.0012611249999281426
200 1.0 "half" 100 4 0.014371833000041079 0.015348417000041081 0.0013281669998832513
200 1.0 "half" 100 5 0.014447500000187574 0.015262917000200105 0.0012401250000948494
200 1.0 "half" 100 6 0.014559125000232598 0.014921709000191186 0.0011994999999842548
200 1.0 "half" 100 7 0.015593124999668362 0.01704516700010572 0.0014940829996703542
200 1.0 "half" 100 8 0.01495516700015287 0.01667866599973422 0.001383249999889813
200 1.0 "half" 100 9 0.0149648330002492 0.015449083000021346 0.0012321250001150474
