n sigma.fun sigma repl SGSECJ SGSI SGS
300 "sqrt" 18 9 0.0006877499999973224 0.0005424169999059814 0.0005703330002688745
300 "sqrt" 18 10 0.0006821249999120482 0.0005463749998853018 0.000634667000213085
300 "sqrt" 18 11 0.0006714999999530846 0.0005606250001619628 0.0005622090002361801
300 "sqrt" 18 12 0.0006523750002997986 0.0005387080000218702 0.0005717090002690384
300 "sqrt" 18 13 0.0006632919998992293 0.0005430830001387221 0.0005753340001319884
300 "sqrt" 18 14 0.0006517090000670578 0.0005502500002876332 0.0005939580000813294
300 "sqrt" 18 15 0.000649584000257164 0.0005400830000326096 0.000562833000003593
300 "sqrt" 18 16 0.0006476660000771517 0.0005386249999901338 0.0005661670002155006
300 "sqrt" 18 17 0.0006605839998883312 0.0005515000002560555 0.0005782079997516121
300 "sqrt" 18 18 0.0006629580002481816 0.0005693749999409192 0.0005781670001852035
300 "sqrt" 18 19 0.0006513329999506823 0.0005565410001509008 0.0005678749998878629
300 "sqrt" 18 20 0.0006659999999101274 0.0005627499999718566 0.0006303750001279695
300 "sqrt" 18 21 0.0006568750000042201 0.0005404590001489851 0.0005792080000901478
300 "sqrt" 18 22 0.000660874999994121 0.0005452499999591964 0.000575040999592602
300 "sqrt" 18 23 0.0006495419997918361 0.000544250000075408 0.0005785000003015739
300 "sqrt" 18 24 0.0006561659997714742 0.0005441250000330911 0.0005724160000681877
300 "sqrt" 18 25 0.0006818339998062584 0.0005464579999170383 0.0005752920001214079
300 "sqrt" 18 26 0.0006341250000332366 0.0005354999998417043 0.0005657080000673886
300 "sqrt" 18 27 0.0006450830001085706 0.0005545419999180012 0.0005649589998029114
300 "sqrt" 18 28 0.0006480829997599358 0.0005379169997468125 0.0005622499998025887
300 "sqrt" 18 29 0.0006473330004155287 0.0005442089995995048 0.0005695840000043972
300 "sqrt" 18 30 0.0006405839999388263 0.000540250000085507 0.0005751250000685104
300 "logsquared" 68 1 0.0038989580002635194 0.003662749999875814 0.0027068340000369062
300 "logsquared" 68 2 0.003897665999829769 0.003677332999814098 0.0027442919999884907
300 "logsquared" 68 3 0.0038109580000309506 0.003650249999736843 0.0026602080001794093
300 "logsquared" 68 4 0.003876875000059954 0.0036226249999344873 0.002650874999744701
300 "logsquared" 68 5 0.003823209000074712 0.0036837910001850105 0.002708708000227489
